timestamp,open,high,low,close,volume
2024-01-01,100.00,102.39,98.02,101.29,1904456
2024-01-02,101.29,103.86,101.20,102.38,2324409
2024-01-03,102.38,103.66,101.78,102.60,2672099
2024-01-04,102.60,104.65,101.04,103.42,1745938
2024-01-05,103.42,103.46,101.46,102.68,1837462
2024-01-08,102.68,104.20,100.76,101.63,2972564
2024-01-09,101.63,103.02,99.75,101.68,2020967
2024-01-10,101.68,102.55,99.94,101.67,1318794
2024-01-11,101.67,103.32,99.80,101.38,2598320
2024-01-12,101.38,103.07,100.41,101.30,1242632
2024-01-15,101.30,102.65,100.63,101.25,2473598
2024-01-16,101.25,104.05,100.06,102.48,2171766
2024-01-17,102.48,104.38,100.39,101.43,1452976
2024-01-18,101.43,103.48,101.36,101.68,1653424
2024-01-19,101.68,104.43,100.84,103.09,2972768
2024-01-22,103.09,104.20,102.64,102.98,1291398
2024-01-23,102.98,104.34,102.58,102.61,2327111
2024-01-24,102.61,104.13,100.35,102.34,1705898
2024-01-25,102.34,103.47,100.40,101.27,1538230
2024-01-26,101.27,101.91,100.10,100.24,2089657
2024-01-29,100.24,101.35,98.90,100.34,2758256
2024-01-30,100.34,101.00,98.76,100.72,2552625
2024-01-31,100.72,102.22,98.82,101.76,2466360
2024-02-01,101.76,103.61,100.00,100.80,2588075
2024-02-02,100.80,102.67,98.57,100.14,2402285
2024-02-05,100.14,102.03,98.81,101.65,1086864
2024-02-06,101.65,101.93,99.63,101.57,1570113
2024-02-07,101.57,103.02,99.52,100.82,2422183
2024-02-08,100.82,103.12,100.02,101.70,2861280
2024-02-09,101.70,104.51,100.79,102.91,2636192
2024-02-12,102.91,104.96,100.88,104.33,1048695
2024-02-13,104.33,107.19,103.01,105.99,2296800
2024-02-14,105.99,107.35,103.49,105.03,1867571
2024-02-15,105.03,106.59,102.67,104.70,1951407
2024-02-16,104.70,107.17,103.91,105.37,1912634
2024-02-19,105.37,108.95,103.93,107.12,1308360
2024-02-20,107.12,108.30,106.78,107.86,1274792
2024-02-21,107.86,110.91,106.42,109.37,1671724
2024-02-22,109.37,113.19,109.24,111.15,1884219
2024-02-23,111.15,113.32,110.05,110.60,1425044
2024-02-26,110.60,111.86,108.56,110.04,2467488
2024-02-27,110.04,112.36,109.04,110.50,2057806
2024-02-28,110.50,110.82,108.96,110.08,1862942
2024-02-29,110.08,112.63,109.04,111.89,2448982
2024-03-01,111.89,112.44,110.34,111.23,1553698
2024-03-04,111.23,112.35,110.20,110.95,1890828
2024-03-05,110.95,112.37,110.63,112.20,1639113
2024-03-06,112.20,114.35,112.16,113.75,1133185
2024-03-07,113.75,115.80,112.49,114.02,1028180
2024-03-08,114.02,114.39,112.88,113.15,1727373
2024-03-11,113.15,115.49,111.16,114.52,1856785
2024-03-12,114.52,116.66,113.18,115.80,2980572
2024-03-13,115.80,117.37,114.51,116.43,2539333
2024-03-14,116.43,117.16,115.99,116.95,2195571
2024-03-15,116.95,119.06,115.00,117.44,2357195
2024-03-18,117.44,118.65,114.99,117.11,2934864
2024-03-19,117.11,118.05,115.39,116.41,2365741
2024-03-20,116.41,118.75,115.76,116.82,1888894
2024-03-21,116.82,117.35,115.76,117.01,2062086
2024-03-22,117.01,119.52,115.91,118.29,2194044
2024-03-25,118.29,120.71,117.28,118.83,2014714
2024-03-26,118.83,120.81,118.82,120.39,2128504
2024-03-27,120.39,122.27,118.79,120.27,1995555
2024-03-28,120.27,121.82,119.84,120.68,2769709
2024-03-29,120.68,123.80,119.41,121.72,1515525
2024-04-01,121.72,124.28,119.87,123.29,1119944
2024-04-02,123.29,123.56,120.70,123.06,2548965
2024-04-03,123.06,126.45,122.15,124.89,2852608
2024-04-04,124.89,127.88,123.63,126.14,1805806
2024-04-05,126.14,129.34,124.70,127.11,1283629
2024-04-08,127.11,128.11,126.86,127.69,2755619
2024-04-09,127.69,130.03,127.34,128.28,2951738
2024-04-10,128.28,129.76,127.15,127.20,2483369
2024-04-11,127.20,128.79,124.83,128.03,1032694
2024-04-12,128.03,129.07,125.87,127.77,1709042
2024-04-15,127.77,130.67,127.21,129.52,1238644
2024-04-16,129.52,129.90,128.90,129.43,1373269
2024-04-17,129.43,132.29,127.20,130.84,2560640
2024-04-18,130.84,131.00,128.53,130.95,1909458
2024-04-19,130.95,132.59,129.63,129.97,2953853
2024-04-22,129.97,133.53,129.35,131.64,2423059
2024-04-23,131.64,134.76,129.62,132.71,2521953
2024-04-24,132.71,134.36,130.58,134.09,2747955
2024-04-25,134.09,136.28,131.85,134.57,1422587
2024-04-26,134.57,135.34,131.44,133.89,1897461
2024-04-29,133.89,137.77,131.75,135.62,2695808
2024-04-30,135.62,139.62,134.11,137.06,1607541
2024-05-01,137.06,138.19,136.32,137.70,1887584
